# L1 Build Simulation (Up to date)
# 530 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.131,513.636,16.002,-10.142,16.393,10.143,38.864,-0.019,38.864,-0.029,3.557,0.154,-45,178,9.805,0.249,-6.886e-5,10.965,0.026,1116.516,107.52,0.047,0.001,45.41,30.773,1.747,0.05,7.154e5,0,0.412,0.445,0.445,0.198,0.127,0.12,0.04,0.064,-4.361e-5,0,0,0,0,0.006,0.002,8.38,55.154,70.752,-0.038,2.108,11.531,950.85,338.287,0.05,0.839
8.181,514.424,15.496,-10.124,15.897,10.125,39.041,-0.02,39.041,-0.029,3.549,0.141,-45,178,9.805,0.184,-5.268e-5,11.29,0.031,1116.516,107.52,0.047,0.001,45.423,30.773,1.748,0.049,6.948e5,0,0.388,0.445,0.445,0.198,0.127,0.12,0.029,0.045,-3.34e-4,0,0,0,0,0.006,0.002,8.38,55.154,70.195,-0.039,2.087,11.526,950.762,338.284,0.05,0.841
8.231,515.186,14.99,-10.099,15.403,10.1,39.218,-0.02,39.218,-0.029,3.542,0.153,-45,178,9.805,0.335,-6.751e-5,11.455,0.02,1116.516,107.52,0.047,0.001,45.393,30.773,1.745,0.047,6.752e5,0,0.367,0.445,0.445,0.198,0.127,0.12,0.054,0.086,1.18e-4,0,0,0,0,0.007,0.002,8.38,55.154,69.627,-0.039,2.124,11.521,950.677,338.281,0.05,0.842
8.281,515.923,14.486,-10.081,14.911,10.082,39.395,-0.02,39.395,-0.029,3.534,0.146,-45,178.001,9.805,0.323,-7.589e-5,11.952,0.017,1116.516,107.52,0.047,0.001,45.395,30.773,1.745,0.046,6.55e5,0,0.345,0.445,0.445,0.198,0.127,0.12,0.052,0.082,1.56e-4,0,0,0,0,0.008,0.002,8.38,55.154,69.042,-0.039,2.108,11.517,950.595,338.278,0.05,0.843
8.331,516.634,13.982,-10.068,14.42,10.069,39.572,-0.02,39.572,-0.029,3.528,0.123,-45,178.001,9.805,0.159,-5.231e-5,12.121,0.018,1116.516,107.52,0.047,0.001,45.427,30.773,1.749,0.044,6.341e5,0,0.323,0.445,0.445,0.198,0.127,0.12,0.025,0.035,-2.689e-4,0,0,0,0,0.009,0.002,8.38,55.154,68.44,-0.039,2.042,11.512,950.515,338.275,0.05,0.844
8.381,517.321,13.479,-10.047,13.932,10.048,39.748,-0.02,39.748,-0.029,3.522,0.127,-45,178.001,9.805,0.256,-6.27e-5,12.234,0.009,1116.516,107.52,0.047,0.001,45.408,30.773,1.746,0.043,6.143e5,0,0.303,0.445,0.445,0.198,0.127,0.12,0.041,0.062,2.805e-4,0,0,0,0,0.01,0.001,8.38,55.154,67.83,-0.039,2.041,11.507,950.439,338.272,0.05,0.845
8.431,517.982,12.977,-10.027,13.445,10.028,39.924,-0.021,39.924,-0.029,3.515,0.128,-45,178.001,9.805,0.337,-4.776e-5,12.548,0.002,1116.516,107.52,0.047,0.001,45.392,30.773,1.745,0.042,5.945e5,0,0.284,0.445,0.445,0.198,0.127,0.12,0.054,0.083,3.114e-4,0,0,0,0,0.011,0.001,8.38,55.154,67.211,-0.039,2.027,11.503,950.365,338.27,0.05,0.849
8.481,518.619,12.476,-10.016,12.96,10.017,40.1,-0.021,40.1,-0.03,3.509,0.108,-45,178.001,9.805,0.167,-6.337e-5,12.763,-0.021,1116.516,107.52,0.047,0.001,45.425,30.773,1.749,0.04,5.735e5,0,0.264,0.444,0.444,0.198,0.127,0.12,0.027,0.034,-8.525e-5,0,0,0,0,0.012,0.001,8.38,55.154,66.578,-0.039,1.939,11.499,950.294,338.267,0.05,0.855
8.531,519.23,11.976,-10.003,12.478,10.003,40.275,-0.021,40.275,-0.03,3.504,0.098,-45,178.001,9.805,0.094,-6.31e-5,12.773,-0.08,1116.516,107.52,0.047,0.001,45.44,30.773,1.75,0.039,5.529e5,0,0.245,0.444,0.444,0.198,0.126,0.12,0.015,0.013,1.8e-4,0,0,0,0,0.013,0.001,8.38,55.154,65.939,-0.039,1.866,11.495,950.225,338.265,0.05,0.857
8.581,519.816,11.476,-9.989,11.998,9.99,40.45,-0.021,40.45,-0.03,3.499,0.088,-45,178.001,9.805,0.019,-5.716e-5,12.807,-0.668,1116.516,107.52,0.047,0.001,45.455,30.773,1.752,0.037,5.321e5,0,0.227,0.444,0.444,0.198,0.126,0.12,0.003,-0.009,-2.665e-4,0,0,0,0,0.014,0.001,8.38,55.154,65.299,-0.039,1.784,11.491,950.16,338.263,0.05,0.858
8.631,520.378,10.977,-9.981,11.52,9.981,40.625,-0.021,40.625,-0.03,3.495,0.068,-45,178.001,9.805,0.219,-5.698e-5,-12.73,-0.088,1116.516,107.52,0.047,0.001,45.415,30.773,1.747,0.036,5.106e5,0,0.21,0.445,0.445,0.199,0.126,0.12,0.035,0.077,-1.254e-4,0,0,0,0,-0.015,0.001,8.38,55.154,64.66,-0.039,1.651,11.488,950.097,338.26,0.05,0.859
8.681,520.914,10.478,-9.966,11.045,9.966,40.8,-0.021,40.8,-0.03,3.492,0.067,-45,178.001,9.805,0.174,-7.047e-5,-12.496,-0.134,1116.516,107.52,0.047,0.001,45.424,30.773,1.748,0.034,4.901e5,0,0.194,0.447,0.447,0.201,0.126,0.12,0.028,0.065,2.991e-5,0,0,0,0,-0.016,0.001,8.38,55.154,64.029,-0.039,1.572,11.484,950.037,338.258,0.05,0.859
8.731,521.425,9.98,-9.946,10.572,9.947,40.974,-0.022,40.974,-0.03,3.489,0.078,-45,178.001,9.805,0.09,-6.491e-5,12.454,-0.278,1116.516,107.52,0.047,0.001,45.44,30.773,1.75,0.033,4.704e5,0,0.179,0.449,0.449,0.202,0.126,0.12,0.014,0.008,-4.991e-4,0,0,0,0,0.017,0.001,8.38,55.154,63.405,-0.039,1.528,11.481,949.98,338.256,0.05,0.861
8.781,521.912,9.483,-9.922,10.103,9.923,41.149,-0.022,41.149,-0.03,3.484,0.098,-45,178.001,9.805,0.617,-6.065e-5,12.574,-0.038,1116.516,107.52,0.047,0.001,45.337,30.773,1.738,0.032,4.517e5,0,0.166,0.45,0.451,0.204,0.126,0.12,0.099,0.155,-2.747e-4,0,0,0,0,0.019,0.001,8.38,55.154,62.78,-0.039,1.523,11.478,949.926,338.254,0.05,0.862
8.831,522.374,8.988,-9.906,9.638,9.906,41.323,-0.022,41.323,-0.031,3.479,0.103,-45,178.001,9.805,0.875,-5.766e-5,12.996,-0.028,1116.516,107.52,0.047,0.001,45.286,30.773,1.732,0.03,4.317e5,0,0.153,0.452,0.453,0.206,0.126,0.12,0.142,0.224,-4.739e-4,0,0,0,0,0.022,0.001,8.38,55.154,62.142,-0.04,1.449,11.475,949.874,338.252,0.05,0.862
8.881,522.811,8.493,-9.885,9.176,9.886,41.496,-0.022,41.496,-0.031,3.474,0.117,-45,178.001,9.805,1.412,-5.56e-5,13.384,-0.014,1116.516,107.52,0.047,0.001,45.184,30.773,1.72,0.029,4.127e5,0,0.141,0.454,0.457,0.208,0.126,0.12,0.231,0.372,7.094e-5,0,0,0,0,0.025,0.001,8.38,55.154,61.483,-0.04,1.415,11.472,949.825,338.251,0.05,0.864
8.931,523.223,7.999,-9.854,8.718,9.855,41.67,-0.022,41.67,-0.031,3.467,0.155,-45,178.001,9.805,2.605,-6.619e-5,14.179,-0.003,1116.516,107.52,0.047,0.001,44.965,30.773,1.694,0.028,3.964e5,0,0.132,0.456,0.464,0.21,0.126,0.12,0.436,0.707,-4.866e-4,0,0,0,0,0.031,9.672e-4,8.38,55.154,60.795,-0.041,1.495,11.469,949.779,338.249,0.05,0.865
8.981,523.611,7.507,-9.829,8.266,9.83,41.843,-0.023,41.843,-0.031,3.459,0.181,-45,178.001,9.805,3.636,-6.512e-5,15.421,0.001,1116.516,107.52,0.047,0.001,44.784,30.773,1.672,0.027,3.795e5,0,0.123,0.458,0.474,0.212,0.126,0.12,0.62,0.996,-4.594e-4,0,0,0,0,0.04,9.237e-4,8.38,55.154,60.056,-0.042,1.526,11.467,949.736,338.248,0.05,0.866
9.031,523.974,7.017,-9.797,7.818,9.8,42.016,-0.023,42.016,-0.031,3.449,0.219,-45,178.001,9.805,5.09,-6.777e-5,16.859,0.005,1116.516,107.52,0.047,0.001,44.542,30.773,1.643,0.026,3.645e5,0,0.117,0.46,0.489,0.214,0.126,0.12,0.89,1.41,2.98e-4,0,0,0,0,0.052,8.809e-4,8.38,55.154,59.251,-0.043,1.619,11.464,949.695,338.246,0.05,0.867
9.081,524.312,6.528,-9.766,7.377,9.77,42.188,-0.023,42.188,-0.031,3.437,0.256,-45,178.001,9.805,6.653,-6.091e-5,18.84,0.007,1116.516,107.52,0.047,0.001,44.298,30.773,1.614,0.025,3.502e5,0,0.113,0.461,0.508,0.216,0.126,0.12,1.194,1.857,4.151e-4,0,0,0,0,0.07,8.389e-4,8.38,55.154,58.359,-0.043,1.718,11.462,949.658,338.245,0.05,0.868
9.131,524.627,6.04,-9.743,6.943,9.747,42.359,-0.023,42.359,-0.031,3.423,0.275,-45,178.001,9.805,7.948,-6.975e-5,21.047,0.008,1116.516,107.52,0.047,0.001,44.108,30.773,1.591,0.024,3.349e5,0,0.107,0.463,0.526,0.218,0.125,0.12,1.457,2.223,1.047e-4,0,0,0,0,0.096,7.98e-4,8.38,55.154,57.363,-0.044,1.751,11.46,949.622,338.244,0.05,0.869
9.181,524.916,5.553,-9.722,6.516,9.726,42.53,-0.023,42.53,-0.032,3.409,0.287,-45,178.001,9.805,9.206,-5.699e-5,23.406,0.009,1116.516,107.52,0.047,0.001,43.932,30.773,1.57,0.022,3.195e5,0,0.1,0.466,0.544,0.22,0.125,0.12,1.722,2.574,-4.423e-4,0,0,0,0,0.13,7.581e-4,8.38,55.154,56.252,-0.045,1.761,11.458,949.59,338.242,0.05,0.87
9.231,525.182,5.068,-9.704,6.1,9.708,42.7,-0.024,42.7,-0.032,3.395,0.291,-45,178.001,9.805,10.401,-5.78e-5,25.868,0.009,1116.516,107.52,0.047,0.001,43.774,30.773,1.552,0.021,3.038e5,0,0.094,0.468,0.561,0.223,0.125,0.12,1.981,2.899,1.067e-4,0,0,0,0,0.176,7.196e-4,8.38,55.154,55.021,-0.045,1.741,11.456,949.56,338.241,0.05,0.871
9.281,525.423,4.583,-9.683,5.695,9.688,42.87,-0.024,42.87,-0.032,3.38,0.299,-45,178.001,9.805,11.837,-5.81e-5,28.346,0.009,1116.516,107.52,0.047,0.001,43.595,30.773,1.53,0.02,2.893e5,0,0.088,0.47,0.58,0.225,0.125,0.12,2.304,3.293,-1.188e-4,0,0,0,0,0.232,6.827e-4,8.38,55.154,53.665,-0.046,1.74,11.455,949.533,338.24,0.05,0.872
9.331,525.64,4.099,-9.655,5.304,9.66,43.038,-0.024,43.038,-0.032,3.365,0.316,-45,178.001,9.805,13.706,-6.669e-5,30.962,0.01,1116.516,107.52,0.047,0.001,43.377,30.773,1.504,0.019,2.774e5,0,0.084,0.472,0.6,0.227,0.125,0.12,2.741,3.821,-7.4e-5,0,0,0,0,0.302,6.475e-4,8.38,55.154,52.183,-0.046,1.793,11.453,949.509,338.24,0.05,0.872
9.381,525.833,3.618,-9.623,4.929,9.629,43.206,-0.024,43.206,-0.032,3.349,0.333,-45,178.001,9.805,15.729,-6.143e-5,33.773,0.01,1116.516,107.52,0.047,0.001,43.161,30.773,1.478,0.019,2.666e5,0,0.079,0.474,0.615,0.229,0.125,0.12,3.234,4.393,6.782e-6,0,0,0,0,0.389,6.143e-4,8.38,55.154,50.565,-0.046,1.85,11.452,949.488,338.239,0.05,0.873
9.431,526.002,3.137,-9.604,4.576,9.609,43.373,-0.024,43.373,-0.032,3.332,0.328,-45,178.001,9.805,17.361,-5.914e-5,36.689,0.009,1116.516,107.52,0.047,0.001,42.999,30.773,1.459,0.018,2.532e5,0,0.072,0.477,0.62,0.232,0.125,0.12,3.647,4.813,-4.252e-4,0,0,0,0,0.508,5.835e-4,8.38,55.154,48.803,-0.047,1.799,11.451,949.469,338.238,0.05,0.874
9.481,526.147,2.657,-9.59,4.249,9.596,43.539,-0.025,43.539,-0.032,3.316,0.313,-45,178.001,9.805,18.959,-6.5e-5,39.455,0.007,1116.516,107.52,0.047,0.001,42.852,30.773,1.441,0.017,2.387e5,0,0.064,0.48,0.622,0.235,0.125,0.12,4.064,5.196,-3.866e-4,0,0,0,0,0.661,5.556e-4,8.38,55.154,46.9,-0.047,1.694,11.45,949.453,338.238,0.05,0.875
9.531,526.268,2.178,-9.573,3.954,9.578,43.705,-0.025,43.705,-0.032,3.3,0.304,-45,178.001,9.805,21.127,-5.984e-5,42.166,0.007,1116.516,107.52,0.047,0.001,42.669,30.773,1.42,0.016,2.278e5,0,0.058,0.483,0.616,0.238,0.125,0.12,4.508,5.345,3.389e-4,0,0,0,0,0.829,5.31e-4,8.38,55.154,44.859,-0.047,1.654,11.449,949.439,338.237,0.05,0.876
9.581,526.365,1.7,-9.55,3.699,9.555,43.869,-0.025,43.87,-0.033,3.285,0.3,-45,178.001,9.805,23.811,-5.991e-5,44.566,0.007,1116.516,107.52,0.047,0.001,42.466,30.773,1.395,0.016,2.212e5,0,0.053,0.484,0.601,0.239,0.125,0.12,4.925,5.117,-2.071e-5,0,0,0,0,0.983,5.101e-4,8.38,55.154,42.69,-0.047,1.685,11.449,949.428,338.237,0.05,0.877
9.631,526.438,1.223,-9.515,3.492,9.52,44.033,-0.025,44.033,-0.033,3.27,0.305,-45,178.001,9.805,26.771,-5.997e-5,46.793,0.008,1116.516,107.52,0.047,0.001,42.27,30.773,1.372,0.015,2.185e5,0,0.05,0.485,0.574,0.24,0.125,0.12,5.417,4.93,1.02e-4,0,0,0,0,1.111,4.932e-4,8.38,55.154,40.405,-0.048,1.773,11.448,949.42,338.236,0.05,0.878
9.681,526.487,0.749,-9.476,3.34,9.481,44.197,-0.025,44.197,-0.033,3.255,0.31,-45,178.001,9.805,29.646,-5.811e-5,48.922,0.008,1116.516,107.52,0.047,0.001,42.106,30.773,1.352,0.015,2.166e5,0,0.046,0.485,0.542,0.241,0.125,0.12,5.923,4.77,2.148e-4,0,0,0,0,1.235,4.809e-4,8.38,55.154,38.012,-0.048,1.835,11.448,949.415,338.236,0.05,0.881
9.731,526.513,0.276,-9.428,3.251,9.434,44.359,-0.026,44.359,-0.033,3.239,0.316,-45,178.001,9.805,32.445,-6.585e-5,50.944,0.008,1116.516,107.52,0.047,0.001,41.97,30.773,1.336,0.015,2.168e5,0,0.043,0.485,0.506,0.241,0.125,0.12,6.438,4.652,-3.884e-4,0,0,0,0,1.337,4.733e-4,8.38,55.154,35.515,-0.048,1.904,11.448,949.412,338.236,0.05,0.883
# Event APOGEE occurred at t=9.781 seconds
9.781,526.515,-0.194,-9.39,3.229,9.395,44.52,-0.026,44.52,-0.033,3.223,0.31,-45,178.001,9.805,35.106,-6.014e-5,52.946,0.007,1116.516,107.52,0.047,0.001,41.859,30.773,1.323,0.015,2.143e5,0,0.039,0.486,0.469,0.241,0.125,0.12,6.943,4.512,-3.137e-4,0,0,0,0,1.478,4.706e-4,8.38,55.154,32.917,-0.048,1.863,11.448,949.412,338.236,0.05,0.884
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=9.782 seconds
9.831,526.493,-0.663,-9.341,3.276,9.346,44.681,-0.026,44.681,-0.033,3.208,0.307,-45,178.001,9.805,37.701,-6.613e-5,54.794,0.006,1116.516,107.52,0.047,0.001,41.768,30.773,1.312,0.015,2.145e5,0,0.036,0.486,0.43,0.241,0.125,0.12,7.448,4.425,1.865e-4,0,0,0,0,1.58,4.729e-4,8.38,55.154,30.223,-0.048,1.844,11.448,949.414,338.236,0.05,0.885
9.835,526.491,-0.695,-8.479,5.061,13.187,44.693,-0.026,44.693,-0.033,3.17,10.1,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.131e5,0,11.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.729e-4,NaN,NaN,NaN,NaN,1.844,11.448,949.414,338.236,0.004,0.89
9.862,526.469,-0.92,-8.424,4.839,13.051,44.774,-0.026,44.774,-0.033,2.904,9.969,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.037e5,0,11.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.679e-4,NaN,NaN,NaN,NaN,1.847,11.448,949.414,338.236,0.027,0.895
9.885,526.445,-1.112,-8.069,4.644,12.022,44.841,-0.026,44.841,-0.033,2.691,8.912,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.014,1.955e5,0,10.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.341e-4,NaN,NaN,NaN,NaN,1.817,11.448,949.417,338.236,0.024,0.895
9.909,526.417,-1.294,-7.814,4.432,11.123,44.902,-0.026,44.902,-0.034,2.507,7.916,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.013,1.866e5,0,9.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.09e-4,NaN,NaN,NaN,NaN,1.732,11.448,949.419,338.236,0.023,0.896
9.941,526.371,-1.541,-7.573,4.253,10.48,44.979,-0.026,44.979,-0.034,2.271,7.244,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.013,1.791e5,0,8.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.894e-4,NaN,NaN,NaN,NaN,1.693,11.448,949.422,338.237,0.033,0.896
9.996,526.276,-1.932,-7.206,4.126,9.888,45.093,-0.027,45.093,-0.034,1.903,6.771,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.013,1.737e5,0,8.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.675e-4,NaN,NaN,NaN,NaN,1.742,11.449,949.428,338.237,0.054,0.896
10.056,526.149,-2.33,-6.639,4.07,8.99,45.196,-0.027,45.196,-0.034,1.54,6.061,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.012,1.714e5,0,7.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.419e-4,NaN,NaN,NaN,NaN,1.797,11.449,949.438,338.237,0.06,0.897
10.111,526.009,-2.672,-6.147,3.994,7.991,45.274,-0.027,45.274,-0.034,1.256,5.106,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.012,1.681e5,0,7.013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.291e-4,NaN,NaN,NaN,NaN,1.712,11.45,949.452,338.238,0.056,0.897
10.195,525.765,-3.141,-5.583,4.085,7.333,45.362,-0.027,45.362,-0.034,0.857,4.754,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.012,1.72e5,0,7.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.311e-4,NaN,NaN,NaN,NaN,1.754,11.451,949.468,338.238,0.084,0.897
10.282,525.474,-3.552,-4.721,4.23,6.403,45.421,-0.027,45.421,-0.034,0.48,4.325,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.012,1.781e5,0,7.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.474e-4,NaN,NaN,NaN,NaN,1.816,11.453,949.495,338.239,0.087,0.897
10.372,525.14,-3.904,-3.922,4.359,5.442,45.449,-0.027,45.449,-0.034,0.142,3.773,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.012,1.835e5,0,7.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.731e-4,NaN,NaN,NaN,NaN,1.798,11.454,949.528,338.24,0.09,0.897
10.467,524.753,-4.205,-3.157,4.494,4.512,45.447,-0.028,45.447,-0.035,0.165,3.224,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.013,1.892e5,0,8.249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.033e-4,NaN,NaN,NaN,NaN,1.752,11.457,949.565,338.242,0.095,0.898
10.578,524.274,-4.465,-2.355,4.657,3.744,45.411,-0.028,45.411,-0.035,0.487,2.911,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.013,1.961e5,0,8.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.344e-4,NaN,NaN,NaN,NaN,1.809,11.459,949.608,338.243,0.111,0.898
10.706,523.687,-4.676,-1.64,4.785,2.931,45.329,-0.028,45.329,-0.035,0.799,2.429,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.014,2.015e5,0,9.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.66e-4,NaN,NaN,NaN,NaN,1.816,11.462,949.662,338.245,0.128,0.898
10.868,522.919,-4.84,-1.018,4.893,2.186,45.175,-0.028,45.175,-0.035,1.111,1.934,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.014,2.06e5,0,10.045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.961e-4,NaN,NaN,NaN,NaN,1.829,11.466,949.727,338.247,0.161,0.898
11.091,521.826,-4.952,-0.501,4.97,1.514,44.891,-0.028,44.891,-0.036,1.43,1.428,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.014,2.093e5,0,10.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.248e-4,NaN,NaN,NaN,NaN,1.855,11.471,949.813,338.25,0.223,0.898
11.44,520.089,-4.999,-0.136,5.002,0.914,44.336,-0.028,44.336,-0.036,1.746,0.904,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.106e5,0,10.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.517e-4,NaN,NaN,NaN,NaN,1.893,11.478,949.935,338.255,0.349,0.898
11.898,517.8,-4.995,0.01,4.995,0.156,43.521,-0.028,43.521,-0.037,1.817,0.155,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.104e5,0,10.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.75e-4,NaN,NaN,NaN,NaN,1.825,11.489,950.129,338.261,0.458,0.899
12.398,515.302,-4.998,-0.006,4.998,0.14,42.595,-0.028,42.595,-0.038,1.887,0.139,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,10.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.792e-4,NaN,NaN,NaN,NaN,1.888,11.504,950.385,338.271,0.5,0.899
12.898,512.807,-4.982,0.031,4.982,0.684,41.566,-0.028,41.566,-0.038,2.228,0.684,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.099e5,0,11.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.842e-4,NaN,NaN,NaN,NaN,2.234,11.521,950.664,338.28,0.5,0.9
13.398,510.31,-5.007,-0.05,5.007,0.176,40.473,-0.028,40.473,-0.039,2.144,0.169,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.11e5,0,10.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.079e-4,NaN,NaN,NaN,NaN,2.142,11.537,950.943,338.29,0.5,0.9
13.898,507.813,-4.98,0.053,4.98,0.307,39.363,-0.028,39.363,-0.04,2.295,0.302,-45,178.001,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.099e5,0,11.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.036e-4,NaN,NaN,NaN,NaN,2.298,11.553,951.222,338.3,0.5,0.9
14.398,505.319,-4.997,-0.033,4.997,0.635,38.295,-0.028,38.295,-0.042,1.978,0.634,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.13e-4,NaN,NaN,NaN,NaN,1.972,11.569,951.501,338.31,0.5,0.9
14.898,502.822,-4.989,0.016,4.989,0.202,37.281,-0.028,37.281,-0.043,2.078,0.201,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.104e5,0,10.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.905e-4,NaN,NaN,NaN,NaN,2.08,11.585,951.78,338.32,0.5,0.9
